"naam","omschrijving","categorie","gm","id"
"camera film","camera film","3","Nee","2592"
"camera foto","camera foto","3","Nee","2593"
"cd","cd","4","Nee","2594"
"consumptiebon","consumptiebon","10","Nee","2595"
"glas wijn","glas wijn","10","Nee","2597"
"groepslijsten","groepslijsten","10","Nee","2598"
"korfbalkorf op staander","korfbalpaal + mand","9","Nee","2599"
"kruiwagen","kruiwagen","3","Nee","2600"
"ren je rot vragen","ren je rot vragen","10","Nee","2602"
"roulette","roulette","9","Nee","2603"
"schuimrubber","schuimrubber","10","Nee","2604"
"brandslang 25 meter","brandslang 25 meter","1","Nee","2607"
"brandslang brug","brandslang brug","1","Nee","2608"
"brandslang spuitstuk","brandslang spuitstuk","1","Nee","2609"
"aggregaat 380","aggregaat 380","1","Ja","2610"
"bouwhek","bouwhek","3","Ja","2611"
"dixie","dixie","3","Nee","2612"
"steigermateriaal","steigermateriaal","3","Nee","2614"
"aggregaat","aggregaat","1","Nee","2615"
"dranghekken","dranghekken","1","Ja","2616"
"klikos","klikos","1","Ja","2617"
"vlaggemast 6 mtr","vlaggemast 6 mtr","1","Ja","2619"
"vlaggemast 9 mtr","vlaggemast 9 mtr","1","Ja","2620"
"slingers","slingers","3","Nee","2621"
"afwasmiddel","afwasmiddel","10","Nee","2622"
"afzetlint geel-zwart","afzetlint geel-zwart","10","Nee","2623"
"afzetlint rood-wit","afzetlint rood-wit","10","Nee","2624"
"aluminiumfolie rol","aluminiumfolie rol","10","Nee","2625"
"appels","appels","2","Nee","2626"
"azijn","azijn","5","Nee","2627"
"ballonnen blanco","ballonnen blanco","10","Nee","2628"
"batterijen AA","batterijen AA","10","Nee","2629"
"batterijen C3","batterijen C3","10","Nee","2630"
"behanglijm","behanglijm","10","Nee","2631"
"bekers AWPK","bekers AWPK","10","Nee","2632"
"bekers doorzichtig","bekers doorzichtig","10","Nee","2633"
"bekers karton","bekers karton","5","Nee","2634"
"bekers wegwerp","bekers wegwerp","10","Nee","2635"
"beschuiten (rol)","beschuiten (rol)","2","Nee","2636"
"bord wegwerp","bord wegwerp","10","Nee","2637"
"boter kuipje 500 gr","boter kuipje 500 gr","2","Nee","2639"
"boterhamzakjes","boterhamzakjes","10","Nee","2640"
"brood","brood","2","Nee","2641"
"broodjes","broodjes","2","Nee","2642"
"cake","cake","2","Nee","2643"
"champignons","champignons","2","Nee","2644"
"chocomel","chocomel","2","Nee","2645"
"citroen","citroen","2","Nee","2646"
"clownsneus","clownsneus","3","Nee","2647"
"cocktailprikkers","cocktailprikkers","5","Nee","2648"
"cocktailvruchtjes","cocktailvruchtjes","2","Nee","2649"
"crepe papier","crepe papier","10","Nee","2650"
"damastpapier","damastpapier","10","Nee","2651"
"diksap fles","diksap fles","2","Nee","2652"
"drank bier","drank bier","3","Ja","2653"
"drinken","drinken","2","Nee","2654"
"drop veter","drop veter","2","Nee","2655"
"fakkels","fakkels","1","Nee","2656"
"frietbakje","frietbakje","10","Nee","2657"
"frietzakje","frietzakje","10","Nee","2658"
"haargel","haargel","10","Nee","2659"
"hagelslag pak","hagelslag pak","2","Nee","2660"
"handschoen plastic","handschoen plastic","10","Nee","2661"
"houtskool per kg","houtskool per kg","10","Nee","2662"
"ijzerdraad rol","ijzerdraad rol","10","Nee","2664"
"inktpatroon printer","inktpatroon printer","3","Nee","2665"
"jam","jam","2","Nee","2666"
"kaas 500 gr","kaas 500 gr","2","Nee","2667"
"kaas hotel","kaas hotel","2","Nee","2668"
"ketchup fles","ketchup fles","2","Nee","2669"
"keukenrol","keukenrol","10","Nee","2670"
"kiwi","kiwi","2","Nee","2671"
"knakworsten","knakworsten","2","Nee","2672"
"knoflook","knoflook","2","Nee","2673"
"koekjes pak","koekjes pak","2","Nee","2674"
"koffie pak 500 gr","koffie pak 500 gr","2","Nee","2675"
"koffiemelk creamer pot","koffiemelk creamer pot","2","Nee","2676"
"komkommer","komkommer","2","Nee","2677"
